ts_code,ann_date,end_date,type,p_change_min,p_change_max,net_profit_min,net_profit_max,summary,change_reason
300183.SZ,20260129,20251231,预减,-86.53,-79.8,900.0,1350.0,预计:净利润900-1350,"本报告期内，公司业绩主要受两大核心业务板块调整影响：（一）电力载波业务2025年市场环境迎来结构性调整，国家电网投资虽保持整体增长，但布局重心向特高压等领域倾斜，传统智能电表招标规模显著收缩。同时，配网物资受集采政策影响单价大幅走低，直接压缩了销售基数与收入增长空间。行业竞争态势持续加剧，入局厂商数量增加，进一步挤压了产品的销售空间。招标规模收缩与产品单价下行的双重作用，直接导致该板块销售收入下滑，而收入基数的萎缩叠加市场价格竞争的影响，该板块毛利率承压明显走低，成为拖累净利润表现的重要原因之一。2025年12月26日，国家发展改革委和国家能源局联合发布《关于促进电网高质量发展的指导意见》，2026年开始的“十五五”，电网投资预计超过5万亿。“十五五”期间，配电网将成为电网投资的重点，投资占比有望提升至50%以上，因此，未来电网市场发展可期。（二）集成电路业务2025年MCU市场总体需求仍显不足，市场陷入激烈竞争与价格战。在需求不足和国内竞争加剧的背景下，产品毛利空间被严重压缩。激烈的市场竞争使得定价承压，导致该板块毛利率下降，对整体净利润造成较大影响。（三）公司非经常性损益对净利润的重大影响1、全资子公司广东东软载波智能物联网技术有限公司作为参股股东投资广东省云电投资控股有限责任公司的金融资产公允价值变动收益预计增加净利润600-1,100万元。2、公司依据《税务事项通知书》（青北二税通〔2025〕527号）的相关内容缴纳税款滞纳金预计减少净利润312.88万元。综上，2025年公司在传统电力载波业务上面临市场结构调整与竞争加剧的双重挑战，在集成电路业务上则遭遇行业需求不足与价格竞争的压力，导致公司收入下滑、毛利率收缩，进而致使2025年度净利润出现较大幅度下滑。"
300183.SZ,20260129,20251231,预减,-86.53,-79.8,900.0,1350.0,预计:净利润900-1350,"本报告期内，公司业绩主要受两大核心业务板块调整影响：（一）电力载波业务2025年市场环境迎来结构性调整，国家电网投资虽保持整体增长，但布局重心向特高压等领域倾斜，传统智能电表招标规模显著收缩。同时，配网物资受集采政策影响单价大幅走低，直接压缩了销售基数与收入增长空间。行业竞争态势持续加剧，入局厂商数量增加，进一步挤压了产品的销售空间。招标规模收缩与产品单价下行的双重作用，直接导致该板块销售收入下滑，而收入基数的萎缩叠加市场价格竞争的影响，该板块毛利率承压明显走低，成为拖累净利润表现的重要原因之一。2025年12月26日，国家发展改革委和国家能源局联合发布《关于促进电网高质量发展的指导意见》，2026年开始的“十五五”，电网投资预计超过5万亿。“十五五”期间，配电网将成为电网投资的重点，投资占比有望提升至50%以上，因此，未来电网市场发展可期。（二）集成电路业务2025年MCU市场总体需求仍显不足，市场陷入激烈竞争与价格战。在需求不足和国内竞争加剧的背景下，产品毛利空间被严重压缩。激烈的市场竞争使得定价承压，导致该板块毛利率下降，对整体净利润造成较大影响。（三）公司非经常性损益对净利润的重大影响1、全资子公司广东东软载波智能物联网技术有限公司作为参股股东投资广东省云电投资控股有限责任公司的金融资产公允价值变动收益预计增加净利润600-1,100万元。2、公司依据《税务事项通知书》（青北二税通〔2025〕527号）的相关内容缴纳税款滞纳金预计减少净利润312.88万元。综上，2025年公司在传统电力载波业务上面临市场结构调整与竞争加剧的双重挑战，在集成电路业务上则遭遇行业需求不足与价格竞争的压力，导致公司收入下滑、毛利率收缩，进而致使2025年度净利润出现较大幅度下滑。"
300183.SZ,20240130,20231231,预减,-69.0,-55.0,5061.0,7347.0,预计:净利润5061-7347,"1、本报告期内，公司全资子公司上海东软载波微电子有限公司（以下简称“上海微电子”）集成电路业务由于受下游需求低迷、半导体行业周期下行等多重因素影响，营业收入同比下降约40%；产品销售价格较上年同期也有所下降，致使2023年度业绩下滑较大。2、公司根据《企业会计准则第8号—资产减值》及相关会计政策等规定，基于谨慎性原则，结合2023年度的实际经营情况，上海微电子拟计提存货跌价准备约2,000万元，与上年同期相比有较大幅度增加。3、经与会计师事务所及评估机构沟通后初步判断，公司并购上海微电子芯片研发、生产业务所形成的含商誉资产组存在减值迹象，2023年度公司拟对可能发生减值的商誉计提相应的商誉减值准备约1,000万元，与上年同期相比有较大幅度增加。减值准备最终金额将由公司聘请的专业评估机构及审计机构进行评估和审计后确定。4、本报告期内，公司非经常性损益对净利润的影响金额预计约为1,800万元，主要是政府补助以及理财产品收益，与上年同期基本持平。综上，2023年度公司预计归属于上市公司股东的净利润为5,061.20万元—7,346.90万元，较上年同期有较大幅度下降。"
300183.SZ,20240130,20231231,预减,-69.0,-55.0,5061.0,7347.0,预计:净利润5061-7347,"1、本报告期内，公司全资子公司上海东软载波微电子有限公司（以下简称“上海微电子”）集成电路业务由于受下游需求低迷、半导体行业周期下行等多重因素影响，营业收入同比下降约40%；产品销售价格较上年同期也有所下降，致使2023年度业绩下滑较大。2、公司根据《企业会计准则第8号—资产减值》及相关会计政策等规定，基于谨慎性原则，结合2023年度的实际经营情况，上海微电子拟计提存货跌价准备约2,000万元，与上年同期相比有较大幅度增加。3、经与会计师事务所及评估机构沟通后初步判断，公司并购上海微电子芯片研发、生产业务所形成的含商誉资产组存在减值迹象，2023年度公司拟对可能发生减值的商誉计提相应的商誉减值准备约1,000万元，与上年同期相比有较大幅度增加。减值准备最终金额将由公司聘请的专业评估机构及审计机构进行评估和审计后确定。4、本报告期内，公司非经常性损益对净利润的影响金额预计约为1,800万元，主要是政府补助以及理财产品收益，与上年同期基本持平。综上，2023年度公司预计归属于上市公司股东的净利润为5,061.20万元—7,346.90万元，较上年同期有较大幅度下降。"
300183.SZ,20200331,20200331,续盈,-15.0,15.0,2406.0,3255.0,预计净利润2406-3255万,2019年第四季度国家电网HPLC载波通信模组招标工作各省正常开展，公司订单相比上年同期基本稳定，2019年中标尚未供货合同在2020年第一季度陆续开始供货，公司2020年第一季度净利润和去年同期相比基本持平。
300183.SZ,20200118,20191231,续盈,-15.0,15.0,15177.0,20533.0,预计净利润15177-20533万,"1、2019年国家电网载波通信模组招标方式和市场份额发生变化，导致公司销售收入和经营利润略有下降。2、公司计提商誉减值导致净利润减少。3、2019年度股权激励费用减少；安缔诺股权转让完成，投资收益增加；政府补贴款增加，导致净利润增长。由以上原因导致公司2019年净利润和上年同期相比基本持平。预计本报告期非经常性损益对净利润的影响金额为4,000万元—5,000万元。"
300183.SZ,20191015,20190930,略减,-10.0,0.0,8943.0,9937.0,预计净利润8943-9937万,"1、由于行业性政策变化的影响，公司高速电力线载波通信（HPLC）模组在国家电网的市场份额有所下降，加之HPLC模组在招标中实行限价策略，导致公司2019年前三季度的销售收入和净利润相比去年同期有一定幅度的下降。2、2019年7-9月，预计实现归属于上市公司股东净利润相比上年同期上升，主要为理财收益及收到的政府补助所致。预计2019年1－9月公司非经常性损益对净利润的影响金额约为2,000万元-2,500万元，主要为理财收益及收到的政府补助。"
300183.SZ,20190713,20190630,略减,-20.0,-10.0,5539.0,6232.0,预计净利润5539-6232万,"由于行业性政策变化的影响，公司高速电力线载波通信（HPLC）模组在国家电网的市场份额有所下降，加之HPLC模组在招标中实行限价政策，导致公司2019年上半年的销售收入和净利润相比去年同期有一定幅度的下降。预计本报告期非经常性损益对净利润的影响金额为1,000万元-1,300万元，主要为理财收益及收到的政府补助。"
300183.SZ,20190329,20190331,略减,-50.0,-20.0,2158.0,3452.0,预计净利润2158-3452万,2018年是国网第二轮用电信息采集改造的开始年，HPLC载波通信芯片国网新标准产品的招标于三季度末开始，且载波通信模组招标方式由原来随国网电表统招，改为各省公司自主招标，导致了销售模式发生变化。2019年第一季度国家电网HPLC载波通信模组招标工作各省公司陆续开始，开标省份较少，且尚未开始批量供货，导致收入有所下降，也导致公司2019年第一季度净利润相比去年同期有一定幅度的下降。预计本报告期非经常性损益对净利润的影响金额0-300万元。
300183.SZ,20181013,20180930,略减,-40.0,-30.0,11139.0,12996.0,预计净利润11139-12996万,"1、2018年前三季度摊销公司2017年限制性股票激励计划费用约3,470.09万元，导致2018年前三季度净利润减少。2、由于电阻、电容等电子元器件涨价，公司2018年前三季度原材料采购成本增加，导致毛利率下降，净利润减少。由于以上因素的影响，加之国家电网高速电力线载波通信（HPLC）模组招标供货尚未开始，导致公司2018年前三季度净利润相比去年同期有一定幅度的下降。预计本报告期非经常性损益对净利润的影响金额为2,000万元左右。"
