analysis_group_id,company,symbol,event_date,primary_category,split,default_model_scope,has_main_label,is_default_training_candidate,is_clean_p0_p20,overlap_event_count_p0_p20,relative_mv_return_p0_p20,abnormal_mv_impact_yi_p0_p20,title,sample_policy,policy_reason
300590|2017-01-11|其他,移为通信,300590,2017-01-11,其他,train,audit_or_aux,1,0,0,4,0.9403478826302528,43.53129479999998,关于“N移为”盘中临时停牌的公告,case_or_audit_only,不满足默认训练候选条件
300638|2017-04-13|其他,广和通,300638,2017-04-13,其他,train,audit_or_aux,1,0,0,11,1.600264645356294,18.06602,关于“N广和通”盘中临时停牌的公告,case_or_audit_only,不满足默认训练候选条件
002970|2019-12-17|风险事件,锐明技术,2970,2019-12-17,风险事件,train,audit_or_aux,1,0,0,9,1.7178055475668672,68.24693283839999,上市首日风险提示公告,case_or_audit_only,不满足默认训练候选条件
002970|2019-12-17|其他,锐明技术,2970,2019-12-17,其他,train,audit_or_aux,1,0,0,9,1.7178055475668672,68.24693283839999,关于“N锐明”盘中临时停牌的公告,case_or_audit_only,不满足默认训练候选条件
002881|2017-06-22|风险事件,美格智能,2881,2017-06-22,风险事件,train,audit_or_aux,1,0,0,7,0.9817048185886856,17.309703577999997,上市首日风险提示公告,case_or_audit_only,不满足默认训练候选条件
002881|2017-06-22|其他,美格智能,2881,2017-06-22,其他,train,audit_or_aux,1,1,0,7,0.9817048185886856,17.309703577999997,关于召开2016年度股东大会的提示性公告,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
603236|2019-07-16|其他,移远通信,603236,2019-07-16,其他,train,audit_or_aux,1,0,0,9,1.081987582609571,66.41922951168961,关于N移远(603236)盘中临时停牌的公告,case_or_audit_only,不满足默认训练候选条件
002970|2019-12-20|管理层/投关信号,锐明技术,2970,2019-12-20,管理层/投关信号,train,audit_or_aux,1,1,0,8,1.153877332688234,44.30967486624,调研活动信息20191220,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300638|2017-04-18|政策/行业,广和通,300638,2017-04-18,政策/行业,train,audit_or_aux,1,1,0,11,1.1569681175870956,12.052408533333333,关于签署募集资金三方监管协议的公告,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300638|2017-04-18|其他,广和通,300638,2017-04-18,其他,train,audit_or_aux,1,0,0,11,1.1569681175870956,12.052408533333333,股票交易异常波动公告(2017/4/18),case_or_audit_only,不满足默认训练候选条件
300590|2017-01-13|其他,移为通信,300590,2017-01-13,其他,train,audit_or_aux,1,0,0,5,0.6116221734226096,24.128436800000003,股票交易异常波动公告(2017/1/13),case_or_audit_only,不满足默认训练候选条件
300098|2015-05-28|资本动作,高新兴,300098,2015-05-28,资本动作,train,audit_or_aux,1,1,0,72,0.7755235307422741,63.14439995541001,易方达资产高新兴1号资产管理计划资产管理合同,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300098|2015-06-13|资本动作,高新兴,300098,2015-06-13,资本动作,train,audit_or_aux,1,1,0,20,0.5708041958041957,92.48681142604798,关于股权激励计划第二个解锁期股票解锁股份上市流通的提示性公告的更正公告,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300638|2017-04-20|其他,广和通,300638,2017-04-20,其他,train,audit_or_aux,1,0,0,9,0.7065454492926875,10.341168,股票交易异常波动公告(2017/4/20),case_or_audit_only,不满足默认训练候选条件
300098|2015-05-28|其他,高新兴,300098,2015-05-28,其他,train,audit_or_aux,1,1,0,72,0.7755235307422741,63.14439995541001,关于本次发行股份及支付现金购买资产并募集配套资金履行法定程序的完备性、合规性及提交的法律文件的有效性的说明,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300098|2015-04-01|其他,高新兴,300098,2015-04-01,其他,train,audit_or_aux,1,1,0,72,0.7755235307422741,63.14439995541001,募集资金存放与使用情况的鉴证报告,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300098|2015-02-28|业绩信号,高新兴,300098,2015-02-28,业绩信号,train,audit_or_aux,1,1,0,72,0.7755235307422741,63.14439995541001,业绩快报 营收=737332000.0 净利润=132958100.0,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300098|2015-06-09|其他,高新兴,300098,2015-06-09,其他,train,audit_or_aux,1,1,0,72,0.7755235307422741,63.14439995541001,独立董事关于发行股份及支付现金购买资产并募集配套资金暨关联交易的事前认可意见,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300098|2015-04-27|业绩信号,高新兴,300098,2015-04-27,业绩信号,train,audit_or_aux,1,1,0,72,0.7755235307422741,63.14439995541001,略增 预计净利润3800-4300万,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
300098|2015-04-02|业绩信号,高新兴,300098,2015-04-02,业绩信号,train,audit_or_aux,1,1,0,72,0.7755235307422741,63.14439995541001,略增 预计净利润2000-2500万,robustness_or_case,重叠污染较重，建议仅稳健性或案例使用
